t`s	v(dout)`V	v(rst)`V
6.36719e-05	1.8	0
6.375e-05	1.8	0
6.38281e-05	1.8e-14	0
6.39063e-05	1.8e-14	0
6.39844e-05	1.8	0
6.40625e-05	1.8	0
6.41406e-05	1.8e-14	0
6.42187e-05	1.8	0
6.42969e-05	1.8e-14	0
6.4375e-05	1.8	0
6.44531e-05	1.8e-14	0
6.45312e-05	1.8	0
6.46094e-05	1.8e-14	0
6.46875e-05	1.8	0
6.47656e-05	1.8e-14	0
6.48438e-05	1.8	0
6.49219e-05	1.8	0
6.5e-05	1.8e-14	0
6.50781e-05	1.8e-14	0
6.51563e-05	1.8	0
6.52344e-05	1.8e-14	0
6.53125e-05	1.8	0
6.53906e-05	1.8	0
6.54688e-05	1.8e-14	0
6.55469e-05	1.8e-14	0
6.5625e-05	1.8	0
6.57031e-05	1.8e-14	0
6.57813e-05	1.8	0
6.58594e-05	1.8e-14	0
6.59375e-05	1.8	0
6.60156e-05	1.8e-14	0
6.60938e-05	1.8	0
6.61719e-05	1.8e-14	0
6.625e-05	1.8	0
6.63281e-05	1.8e-14	0
6.64063e-05	1.8	0
6.64844e-05	1.8e-14	0
6.65625e-05	1.8e-14	0
6.66406e-05	1.8	0
6.67188e-05	1.8e-14	0
6.67969e-05	1.8	0
6.6875e-05	1.8e-14	0
6.69531e-05	1.8	0
6.70313e-05	1.8e-14	0
6.71094e-05	1.8	0
6.71875e-05	1.8e-14	0
6.72656e-05	1.8e-14	0
6.73438e-05	1.8	0
6.74219e-05	1.8e-14	0
6.75e-05	1.8	0
6.75781e-05	1.8e-14	0
6.76563e-05	1.8	0
6.77344e-05	1.8e-14	0
6.78125e-05	1.8e-14	0
6.78906e-05	1.8	0
6.79688e-05	1.8e-14	0
6.80469e-05	1.8e-14	0
6.8125e-05	1.8	0
6.82031e-05	1.8	0
6.82813e-05	1.8e-14	0
6.83594e-05	1.8e-14	0
6.84375e-05	1.8e-14	0
6.85156e-05	1.8	0
6.85938e-05	1.8e-14	0
6.86719e-05	1.8	0
6.875e-05	1.8e-14	0
6.88281e-05	1.8e-14	0
6.89063e-05	1.8	0
6.89844e-05	1.8e-14	0
6.90625e-05	1.8	0
6.91406e-05	1.8e-14	0
6.92188e-05	1.8e-14	0
6.92969e-05	1.8e-14	0
6.9375e-05	1.8	0
6.94531e-05	1.8	0
6.95312e-05	1.8e-14	0
6.96094e-05	1.8e-14	0
6.96875e-05	1.8e-14	0
6.97656e-05	1.8e-14	0
6.98438e-05	1.8	0
6.99219e-05	1.8	0
7e-05	1.8e-14	0
7.00781e-05	1.8e-14	1.8
7.01563e-05	1.8	0
7.02344e-05	1.8e-14	0
7.03125e-05	1.8e-14	0
7.03906e-05	1.8	0
7.04688e-05	1.8e-14	0
7.05469e-05	1.8e-14	0
7.0625e-05	1.8	0
7.07031e-05	1.8e-14	0
7.07813e-05	1.8e-14	0
7.08594e-05	1.8	0
